zip,x,y,city,case,death
36046,428.4392417,749.1978522,LAPINE,34092,740
36047,398.3935125,751.4134928,LETOHATCHEE,1747,64
36048,586.2421333,823.7404382,LOUISVILLE,3575,76
36049,441.2293125,831.532599,LUVERNE,2448,75
36051,397.2003,618.0691206,MARBURY,9967,148
36052,491.2140083,709.4390346,MATHEWS,34092,740
36053,556.1729042,746.3255575,MIDWAY,1516,44
36054,454.1529417,622.3754208,MILLBROOK,15186,286
36064,480.201125,695.1025069,PIKE ROAD,34092,740
36066,411.9945292,641.4065464,PRATTVILLE,9967,148
36067,369.4070458,633.4813414,PRATTVILLE,9967,148
36069,464.1371125,747.204204,RAMER,34092,740
36071,425.5834042,843.7535212,RUTLEDGE,2448,75
36075,515.9342458,672.9670151,SHORTER,2341,63
36078,501.2555583,619.7855932,TALLASSEE,15186,286
36079,507.1491625,819.4046566,TROY,4791,106
36080,447.8858833,593.2276394,TITUS,15186,286
36081,504.9391833,802.6879468,TROY,4791,106
36082,505.2437042,815.9555848,TROY,4791,106
36083,563.602625,675.939093,TUSKEGEE,2341,63
36088,552.1385417,665.2660702,TUSKEGEE INSTITUTE,2341,63
36089,548.778825,733.8821389,UNION SPRINGS,1516,44
36091,372.1994333,574.1632527,VERBENA,6633,162
36092,456.1696333,620.3742133,WETUMPKA,15186,286
36093,478.8731792,628.054496,WETUMPKA,15186,286
36104,441.7018583,675.5248415,MONTGOMERY,34092,740
36105,441.4269083,712.869964,MONTGOMERY,34092,740
36106,447.9029208,680.6777871,MONTGOMERY,34092,740
36107,443.3593917,673.8116446,MONTGOMERY,34092,740
36108,425.1269167,683.865306,MONTGOMERY,34092,740
36109,451.3985458,671.3019459,MONTGOMERY,34092,740
36110,448.7234625,658.4946714,MONTGOMERY,34092,740
36111,445.9837542,683.4243448,MONTGOMERY,34092,740
36112,430.6300292,675.3991046,MONTGOMERY,34092,740
36113,438.82585,672.8037335,MONTGOMERY,34092,740
36115,449.8808375,667.0082446,MONTGOMERY,34092,740
36116,453.5335208,697.7712036,MONTGOMERY,34092,740
36117,475.5214917,676.4672384,MONTGOMERY,34092,740
36201,539.0024333,326.2886811,ANNISTON,22221,488
36203,518.0347542,334.8206486,ANNISTON,22221,488
36205,538.8205042,332.3175014,ANNISTON,22221,488
36206,545.3427333,314.4419458,ANNISTON,22221,488
36207,546.6368,336.2153456,ANNISTON,22221,488
36250,517.0440333,320.9737138,ALEXANDRIA,22221,488
36251,528.2024208,458.6347173,ASHLAND,2430,68
36255,548.2680917,468.9406084,CRAGFORD,2430,68
36256,557.7900958,512.0031067,DAVISTON,7079,198
36258,554.9211375,412.2771056,DELTA,2430,68
36260,499.9483708,356.4438696,EASTABOGA,22221,488
36262,603.4739,321.3582319,FRUITHURST,2474,60
36263,621.8714625,402.7538575,GRAHAM,3298,64
36264,595.854025,359.7014384,HEFLIN,2474,60
36265,545.6672292,302.6382988,JACKSONVILLE,22221,488
36266,539.6075583,432.0288877,LINEVILLE,2430,68
36267,509.7402333,472.1707116,MILLERVILLE,2430,68
36268,513.8327583,395.2260214,MUNFORD,13827,283
36269,616.9695583,334.0032327,MUSCADINE,2474,60
36271,516.8252875,314.3330914,OHATCHEE,22221,488
36272,538.4288375,309.2650624,PIEDMONT,22221,488
36273,619.356375,375.1937881,RANBURNE,2474,60
36274,614.7157125,463.0854008,ROANOKE,3298,64
36276,599.9919833,465.4282902,WADLEY,3298,64
36277,530.5101208,312.603264,WEAVER,22221,488
36278,596.5678375,437.5910452,WEDOWEE,3298,64
